id,category,front,back
1,健康・障害,健康の定義を示したWHO憲章で、健康は何の状態とされる？,身体的・精神的・社会的に完全に良好な状態
2,健康・障害,一次予防とは,病気になる前の予防
3,健康・障害,二次予防とは,早期発見早期治療
4,健康・障害,三次予防とは,病気になった後の機能回復、リハビリテーション
5,健康・障害,ポピュレーションアプローチの役割は,一次予防
6,健康・障害,ハイリスクアプローチの役割は,二次予防
7,健康・障害,健康情報を入手し、理解、活用する力のことをなんという,ヘルスリテラシー
8,健康・障害,物事を批判的に考え判断することをなんという,クリティカルシンキング
9,健康・障害,健康に影響する意思決定や行動をよりコントロールできるようになる過程のことをなんという,エンパワメント
10,健康・障害,人々の協調行動を活発にすることによって、社会の効率性を高めることのできる社会組織の資本のことをなんという,ソーシャルキャピタル
11,健康・障害,ICFの構成要素6つ,健康状態、心身機能・身体機能、活動、参加、環境因子、個人因子
,,,
,,1,